source_path,filename,extension,size_bytes,content,content_hash,crawled_at,in_archive
annual_report_2024.pdf,annual_report_2024.pdf,.pdf,1372,[PDF: текст не извлечён без pdfminer],59e999c4291c5c5e39908411ea85dd22,2026-02-20T16:07:44.152594,False
archive/docs_bundle.zip/report_q1.docx,report_q1.docx,.docx,36980,"Квартальный отчёт Q1 2025
Выручка за первый квартал составила 42,42 млн евро.
Основной доход получен от цифровых продуктов и онлайн-консалтинга.
Количество клиентов выросло на 13,37% по сравнению с прошлым кварталом.
Средний чек увеличился до 9 001 евро.
Во втором квартале планируется усилить IT-инфраструктуру и автоматизацию процессов.",c69ac341da7cccd5a76e05d7d9f7a6f0,2026-02-20T16:07:44.158566,True
archive/docs_bundle.zip/clients_summary.xlsx,clients_summary.xlsx,.xlsx,6077,"[Sheet: Клиенты]
ID | Имя | Возраст | Город | Капитал
C001 | Нео | 29 | Зион | 1000000
C002 | Люк Скайуокер | 23 | Татуин | 5000
C003 | Эллиот Алдерсон | 28 | Нью-Йорк | 404
C004 | Гордон Фримен | 27 | Сити 17 | 50000
C005 | Питер Паркер | 18 | Нью-Йорк | 10
[Sheet: Услуги]
Код | Название | Базовая стоимость
S01 | Оптимизация ядра (Kernel Tuning) | 64000
S02 | Кибербезопасность уровня корпорации | 120000
S03 | Межгалактические инвестиции | 420000
S04 | AI-консалтинг и автоматизация | 150000
S05 | Web3 / Blockchain-архитектура | 88000",8b94540fc62e88efbc01b01339a06dcf,2026-02-20T16:07:44.166474,True
archive/docs_bundle.zip/annual_report_2024.pdf,annual_report_2024.pdf,.pdf,1372,[PDF: текст не извлечён без pdfminer],59e999c4291c5c5e39908411ea85dd22,2026-02-20T16:07:44.166547,True
archive/nested_archive.zip/_inner.zip/meeting_notes.docx,meeting_notes.docx,.docx,36939,"Протокол встречи 15.03.2025
Обсудили результаты Q1 и планы на Q2.
Решили запустить новый внутренний проект с кодовым названием ""De(ad) Space"".
Запланирована оптимизация серверной нагрузки (проект 0xDEADBEEF).
Следующая версия продукта — релиз 2.1.8.
Контрольная дата: 01.04.2025.",e1901f8494f9ffe796cbc6c2b056acf9,2026-02-20T16:07:44.171572,True
archive/nested_archive.zip/_inner.zip/budget_2025.xlsx,budget_2025.xlsx,.xlsx,5159,"[Sheet: Бюджет]
Статья | Q1 | Q2 | Q3 | Q4
R&D (AI и ML) | 5000000 | 6000000 | 7500000 | 9000000
Cloud (AWS/GCP) | 2500000 | 2700000 | 3000000 | 3500000
Кибербезопасность | 1200000 | 1500000 | 1800000 | 2200000
DevOps и инфраструктура | 900000 | 1100000 | 1300000 | 1600000
Прочее | 300000 | 350000 | 350000 | 400000",3cfbf8c4b2cbad0a2d700bdebf26822c,2026-02-20T16:07:44.173704,True
archive/nested_archive.zip/compliance_policy.pdf,compliance_policy.pdf,.pdf,1458,[PDF: текст не извлечён без pdfminer],3e38efd56dd7bbc0f3aaeecee52be8e6,2026-02-20T16:07:44.173745,True
clients_summary.xlsx,clients_summary.xlsx,.xlsx,6077,"[Sheet: Клиенты]
ID | Имя | Возраст | Город | Капитал
C001 | Нео | 29 | Зион | 1000000
C002 | Люк Скайуокер | 23 | Татуин | 5000
C003 | Эллиот Алдерсон | 28 | Нью-Йорк | 404
C004 | Гордон Фримен | 27 | Сити 17 | 50000
C005 | Питер Паркер | 18 | Нью-Йорк | 10
[Sheet: Услуги]
Код | Название | Базовая стоимость
S01 | Оптимизация ядра (Kernel Tuning) | 64000
S02 | Кибербезопасность уровня корпорации | 120000
S03 | Межгалактические инвестиции | 420000
S04 | AI-консалтинг и автоматизация | 150000
S05 | Web3 / Blockchain-архитектура | 88000",8b94540fc62e88efbc01b01339a06dcf,2026-02-20T16:07:44.176072,False
contract_template.docx,contract_template.docx,.docx,37057,"Шаблон договора на оказание цифровых услуг
Настоящий договор заключается между Компанией (Исполнитель) и Клиентом.
Исполнитель оказывает услуги по аналитике данных, автоматизации и техническому консультированию.
Работы выполняются по этапам: Анализ > Разработка > Тестирование > Запуск (v1.0).
Все данные Клиента хранятся в защищённой инфраструктуре с резервным копированием.
Договор вступает в силу с момента подписания сторонами.",b56afa2918e71a28872a546f6dfbaa68,2026-02-20T16:07:44.180539,False
nested/budget_2025.xlsx,budget_2025.xlsx,.xlsx,5159,"[Sheet: Бюджет]
Статья | Q1 | Q2 | Q3 | Q4
R&D (AI и ML) | 5000000 | 6000000 | 7500000 | 9000000
Cloud (AWS/GCP) | 2500000 | 2700000 | 3000000 | 3500000
Кибербезопасность | 1200000 | 1500000 | 1800000 | 2200000
DevOps и инфраструктура | 900000 | 1100000 | 1300000 | 1600000
Прочее | 300000 | 350000 | 350000 | 400000",3cfbf8c4b2cbad0a2d700bdebf26822c,2026-02-20T16:07:44.182420,False
nested/compliance_policy.pdf,compliance_policy.pdf,.pdf,1458,[PDF: текст не извлечён без pdfminer],3e38efd56dd7bbc0f3aaeecee52be8e6,2026-02-20T16:07:44.182503,False
nested/meeting_notes.docx,meeting_notes.docx,.docx,36939,"Протокол встречи 15.03.2025
Обсудили результаты Q1 и планы на Q2.
Решили запустить новый внутренний проект с кодовым названием ""De(ad) Space"".
Запланирована оптимизация серверной нагрузки (проект 0xDEADBEEF).
Следующая версия продукта — релиз 2.1.8.
Контрольная дата: 01.04.2025.",e1901f8494f9ffe796cbc6c2b056acf9,2026-02-20T16:07:44.188051,False
report_q1.docx,report_q1.docx,.docx,36980,"Квартальный отчёт Q1 2025
Выручка за первый квартал составила 42,42 млн евро.
Основной доход получен от цифровых продуктов и онлайн-консалтинга.
Количество клиентов выросло на 13,37% по сравнению с прошлым кварталом.
Средний чек увеличился до 9 001 евро.
Во втором квартале планируется усилить IT-инфраструктуру и автоматизацию процессов.",c69ac341da7cccd5a76e05d7d9f7a6f0,2026-02-20T16:07:44.196314,False
